timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2019-12-01,6900.23000000,7850.00000000,6515.00000000,7390.89000000,6900.23000000,7850.00000000,6515.00000000,7390.89000000,503259.06429100,503259.06429100
2019-11-24,8502.87000000,8503.52000000,6790.00000000,6903.28000000,8502.87000000,8503.52000000,6790.00000000,6903.28000000,422402.00470300,422402.00470300
2019-11-17,9040.16000000,9072.32000000,8350.68000000,8502.40000000,9040.16000000,9072.32000000,8350.68000000,8502.40000000,239532.02348000,239532.02348000
2019-11-10,9196.46000000,9513.68000000,8696.00000000,9039.47000000,9196.46000000,9513.68000000,8696.00000000,9039.47000000,294282.77161200,294282.77161200
2019-11-03,9528.23000000,9902.10000000,8913.00000000,9194.71000000,9528.23000000,9902.10000000,8913.00000000,9194.71000000,354362.74432700,354362.74432700
2019-10-27,8223.35000000,10370.00000000,7300.00000000,9529.93000000,8223.35000000,10370.00000000,7300.00000000,9529.93000000,508882.69375600,508882.69375600
2019-10-20,8275.24000000,8403.00000000,7816.01000000,8223.35000000,8275.24000000,8403.00000000,7816.01000000,8223.35000000,219241.79231100,219241.79231100
2019-10-13,7855.30000000,8779.51000000,7762.00000000,8275.01000000,7855.30000000,8779.51000000,7762.00000000,8275.01000000,281416.73873400,281416.73873400
2019-10-06,8043.04000000,8500.00000000,7710.00000000,7854.25000000,8043.04000000,8500.00000000,7710.00000000,7854.25000000,239129.62607000,239129.62607000
2019-09-29,10028.05000000,10049.99000000,7750.00000000,8043.82000000,10028.05000000,10049.99000000,7750.00000000,8043.82000000,364560.06474400,364560.06474400
2019-09-22,10303.34000000,10355.00000000,9653.00000000,10028.87000000,10303.34000000,10355.00000000,9653.00000000,10028.87000000,188644.19962300,188644.19962300
2019-09-15,10381.24000000,10480.00000000,9880.00000000,10302.01000000,10381.24000000,10480.00000000,9880.00000000,10302.01000000,207165.65445800,207165.65445800
2019-09-08,9723.59000000,10905.87000000,9712.50000000,10381.18000000,9723.59000000,10905.87000000,9712.50000000,10381.18000000,281075.66490800,281075.66490800
2019-09-01,10142.69000000,10604.00000000,9320.00000000,9724.98000000,10142.69000000,10604.00000000,9320.00000000,9724.98000000,211243.55028800,211243.55028800
2019-08-25,10306.17000000,10949.96000000,9762.00000000,10142.69000000,10306.17000000,10949.96000000,9762.00000000,10142.69000000,232472.05333100,232472.05333100
2019-08-18,11539.08000000,11577.89000000,9750.00000000,10306.78000000,11539.08000000,11577.89000000,9750.00000000,10306.78000000,248273.37466500,248273.37466500
2019-08-11,10929.99000000,12330.70000000,10927.80000000,11549.97000000,10929.99000000,12330.70000000,10927.80000000,11549.97000000,371072.85766100,371072.85766100
2019-08-04,9541.54000000,11040.00000000,9395.00000000,10929.23000000,9541.54000000,11040.00000000,9395.00000000,10929.23000000,259518.80601900,259518.80601900
2019-07-28,10590.15000000,10683.16000000,9165.00000000,9541.54000000,10590.15000000,10683.16000000,9165.00000000,9541.54000000,269819.32510900,269819.32510900
2019-07-21,10174.18000000,11100.00000000,9060.00000000,10589.45000000,10174.18000000,11100.00000000,9060.00000000,10589.45000000,487080.97263000,487080.97263000
2019-07-14,11410.00000000,13147.08000000,10103.00000000,10174.18000000,11410.00000000,13147.08000000,10103.00000000,10174.18000000,510462.03567800,510462.03567800
2019-07-07,10854.10000000,12000.00000000,9727.00000000,11406.24000000,10854.10000000,12000.00000000,9727.00000000,11406.24000000,517740.07169300,517740.07169300
2019-06-30,10905.95000000,13970.00000000,10525.10000000,10854.10000000,10905.95000000,13970.00000000,10525.10000000,10854.10000000,684152.50877200,684152.50877200
2019-06-23,8953.00000000,11392.64000000,8950.00000000,10906.07000000,8953.00000000,11392.64000000,8950.00000000,10906.07000000,378253.00306500,378253.00306500
2019-06-16,7627.57000000,9333.00000000,7511.00000000,8953.33000000,7627.57000000,9333.00000000,7511.00000000,8953.33000000,274072.05837100,274072.05837100
2019-06-09,8726.00000000,8800.95000000,7444.58000000,7628.13000000,8726.00000000,8800.95000000,7444.58000000,7628.13000000,293308.70969600,293308.70969600
2019-06-02,8612.54000000,9074.26000000,8005.00000000,8725.98000000,8612.54000000,9074.26000000,8005.00000000,8725.98000000,292049.04381200,292049.04381200
2019-05-26,8147.94000000,8740.00000000,7461.00000000,8614.43000000,8147.94000000,8740.00000000,7461.00000000,8614.43000000,341677.39881000,341677.39881000
2019-05-19,6968.24000000,8366.00000000,6870.00000000,8148.48000000,6968.24000000,8366.00000000,6870.00000000,8148.48000000,461287.69413900,461287.69413900
2019-05-12,5773.18000000,7521.78000000,5619.14000000,6967.31000000,5773.18000000,7521.78000000,5619.14000000,6967.31000000,313283.73422500,313283.73422500
2019-05-05,5309.81000000,5900.00000000,5178.80000000,5775.62000000,5309.81000000,5900.00000000,5178.80000000,5775.62000000,191971.58997500,191971.58997500
2019-04-28,5257.41000000,5600.00000000,5102.00000000,5307.52000000,5257.41000000,5600.00000000,5102.00000000,5307.52000000,247392.82390400,247392.82390400
2019-04-21,5131.28000000,5333.42000000,4950.00000000,5256.14000000,5131.28000000,5333.42000000,4950.00000000,5256.14000000,168555.91174500,168555.91174500
2019-04-14,5170.27000000,5422.00000000,4861.22000000,5131.30000000,5170.27000000,5422.00000000,4861.22000000,5131.30000000,247866.40740500,247866.40740500
2019-04-07,4102.44000000,5275.01000000,4067.00000000,5170.27000000,4102.44000000,5275.01000000,4067.00000000,5170.27000000,420989.96873800,420989.96873800
2019-03-31,3991.35000000,4140.00000000,3888.71000000,4103.95000000,3991.35000000,4140.00000000,3888.71000000,4103.95000000,178114.87504900,178114.87504900
2019-03-24,3981.85000000,4069.32000000,3880.01000000,3992.18000000,3981.85000000,4069.32000000,3880.01000000,3992.18000000,156283.26348300,156283.26348300
2019-03-17,3915.99000000,4056.98000000,3810.43000000,3981.14000000,3915.99000000,4056.98000000,3810.43000000,3981.14000000,185620.34481300,185620.34481300
2019-03-10,3807.32000000,3971.75000000,3670.69000000,3916.82000000,3807.32000000,3971.75000000,3670.69000000,3916.82000000,207833.42997000,207833.42997000
2019-03-03,3743.56000000,3888.00000000,3677.17000000,3807.75000000,3743.56000000,3888.00000000,3677.17000000,3807.75000000,190343.24672600,190343.24672600
2019-02-24,3667.62000000,4198.00000000,3655.00000000,3743.56000000,3667.62000000,4198.00000000,3655.00000000,3743.56000000,301384.22226000,301384.22226000
2019-02-17,3679.75000000,3700.11000000,3568.11000000,3667.58000000,3679.75000000,3700.11000000,3568.11000000,3667.58000000,167995.80513900,167995.80513900
2019-02-10,3458.11000000,3733.58000000,3373.10000000,3680.06000000,3458.11000000,3733.58000000,3373.10000000,3680.06000000,198350.67398800,198350.67398800
2019-02-03,3550.05000000,3557.75000000,3349.92000000,3458.11000000,3550.05000000,3557.75000000,3349.92000000,3458.11000000,186574.10542300,186574.10542300
2019-01-27,3539.26000000,3662.94000000,3434.85000000,3550.84000000,3539.26000000,3662.94000000,3434.85000000,3550.84000000,154566.45086100,154566.45086100
2019-01-20,3477.56000000,3720.00000000,3467.02000000,3539.28000000,3477.56000000,3720.00000000,3467.02000000,3539.28000000,199395.79296500,199395.79296500
2019-01-13,3987.62000000,4069.80000000,3441.30000000,3476.81000000,3987.62000000,4069.80000000,3441.30000000,3476.81000000,245887.27794800,245887.27794800
2019-01-06,3803.12000000,4027.71000000,3630.33000000,3987.60000000,3803.12000000,4027.71000000,3630.33000000,3987.60000000,214860.90624200,214860.90624200
2018-12-30,3929.71000000,4198.00000000,3535.00000000,3801.91000000,3929.71000000,4198.00000000,3535.00000000,3801.91000000,332161.25544200,332161.25544200
2018-12-23,3229.22000000,4139.99000000,3216.00000000,3929.71000000,3229.22000000,4139.99000000,3216.00000000,3929.71000000,489096.27646700,489096.27646700
2018-12-16,3548.49000000,3610.00000000,3156.26000000,3228.67000000,3548.49000000,3610.00000000,3156.26000000,3228.67000000,249791.79078700,249791.79078700
