2020-05-04/2020-05-10,9297.89857142857
2020-05-11/2020-05-17,9264.484285714287
2020-05-18/2020-05-24,9308.432857142854
2020-05-25/2020-05-31,9299.221428571427
2020-06-01/2020-06-07,9744.079999999998
2020-06-08/2020-06-14,9571.487142857144
2020-06-15/2020-06-21,9395.277142857143
2020-06-22/2020-06-28,9306.731428571427
2020-06-29/2020-07-05,9130.397142857142
2020-07-06/2020-07-12,9299.314285714285
2020-07-13/2020-07-19,9194.768571428573
2020-07-20/2020-07-26,9548.85285714286
2020-07-27/2020-08-02,11192.050000000003
2020-08-03/2020-08-09,11565.209999999997
2020-08-10/2020-08-16,11736.181428571426
2020-08-17/2020-08-23,11807.50285714286
